PassengerRank,AirportCode,AirportName,City,State,AverageFare,InflationAdjustedAverageFare,Passengers,
350,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,482.57,482.57,256.00,
351,HOM,Homer Airport,Homer,AK,644.46,644.46,216.00,
352,SHD,Shenandoah Valley Regional,Staunton,VA,594.52,594.52,202.00,
353,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,533.31,533.31,169.00,
354,LNY,Lanai Airport,Lanai,HI,286.26,286.26,151.00,
355,AUG,Augusta State,Augusta/Waterville,ME,384.05,384.05,140.00,
356,SWO,Stillwater Regional,Stillwater,OK,394.92,394.92,139.00,
357,MWA,Williamson County Regional,Marion/Herrin,IL,568.55,568.55,131.00,
358,LEB,Lebanon Municipal,Lebanon-Hanover,NH,387.33,387.33,128.00,
358,VDZ,Valdez Pioneer Field,Valdez,AK,606.91,606.91,128.00,
360,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,482.62,482.62,123.00,
361,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,477.80,477.80,118.00,
362,DUJ,DuBois Regional,DuBois,PA,549.73,549.73,117.00,
363,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,640.04,640.04,116.00,
364,GST,Gustavus Airport,Gustavus,AK,219.70,219.70,113.00,
365,CGI,Cape Girardeau Regional,Cape Girardeau,MO,576.74,576.74,109.00,
366,PVC,Provincetown Municipal,Provincetown,MA,512.82,512.82,105.00,
367,UIN,Quincy Regional-Baldwin Field,Quincy,IL,506.00,506.00,102.00,
368,EAR,Kearney Regional,Kearney,NE,669.25,669.25,97.00,
369,LWB,Greenbrier Valley,Lewisburg,WV,401.91,401.91,96.00,
370,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,668.33,668.33,92.00,
371,CEC,Jack McNamara Field,Crescent City,CA,522.72,522.72,87.00,
372,RKD,Knox County Regional,Rockland,ME,367.65,367.65,86.00,
373,PIR,Pierre Regional,Pierre,SD,443.91,443.91,84.00,
374,SDP,Sand Point,Sandpoint,AK,884.04,884.04,78.00,
375,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,497.20,497.20,75.00,
376,RIW,Riverton Regional,Riverton/Lander,WY,577.48,577.48,69.00,
377,RUT,Rutland - Southern Vermont Regional,Rutland,VT,461.47,461.47,68.00,
378,VQS,Antonio Rivera Rodriguez,Vieques,PR,636.58,636.58,67.00,
379,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,552.19,552.19,63.00,
380,LBL,Liberal Mid-America Regional,Liberal,KS,419.33,419.33,62.00,
380,IRK,Kirksville Regional,Kirksville,MO,496.74,496.74,62.00,
382,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,470.54,470.54,58.00,
383,MSS,Massena International-Richards Field,Massena,NY,390.00,390.00,57.00,
384,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,379.05,379.05,56.00,
385,PQI,Northern Maine Regional at Presque Isle,Presque Isle/Houlton,ME,652.86,652.86,53.00,
385,PGA,Page Municipal,Page,AZ,388.03,388.03,53.00,
387,DDC,Dodge City Regional,Dodge City,KS,596.68,596.68,52.00,
388,PUB,Pueblo Memorial,Pueblo,CO,637.50,637.50,47.00,
389,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,531.67,531.67,46.00,
390,CEZ,Cortez Municipal,Cortez,CO,436.71,436.71,45.00,
391,FNL,Fort Collins-Loveland Municipal,Fort Collins/Loveland,CO,128.78,128.78,43.00,
392,ADK,Adak,Adak Island,AK,1041.73,1041.73,35.00,
393,OGS,Ogdensburg International,Ogdensburg,NY,367.25,367.25,33.00,
394,SDY,Sidney/Richland Municipal,Sidney,MT,559.60,559.60,30.00,
395,SLN,Salina Regional,Salina,KS,502.55,502.55,22.00,
396,SNP,St. Paul Island,St. Paul,AK,907.33,907.33,21.00,
397,WRL,Worland Municipal,Worland,WY,478.50,478.50,17.00,
398,PRC,Ernest A. Love Field,Prescott,AZ,290.83,290.83,14.00,
399,GGW,Wokal Field/Glasgow International,Glasgow,MT,577.17,577.17,11.00,
400,FMN,Four Corners Regional,Farmington,NM,391.50,391.50,9.00,
400,OLF,L. M. Clayton,Wolf Point,MT,505.00,505.00,9.00,
402,ROP,Benjamin Taisacan Manglona International,Rota,TT,788.00,788.00,8.00,
403,SSB,Christiansted Harbor Seaplane Base,Christiansted,VI,402.20,402.20,7.00,
403,ATY,Watertown Regional,Watertown,SD,417.43,417.43,7.00,
403,CPX,Benjamin Rivera Noriega,Culebra,PR,290.50,290.50,7.00,
406,HON,Huron Regional,Huron,SD,1121.00,1121.00,5.00,
406,BKG,Branson Airport,Branson,MO,479.60,479.60,5.00,
406,GDV,Dawson Community,Glendive,MT,410.00,410.00,5.00,
409,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,371.00,371.00,3.00,
410,JHM,Kapalua Airport,Kapalua,HI,504.00,504.00,1.00,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
