PassengerRank,AirportCode,AirportName,City,State,AverageFare,InflationAdjustedAverageFare,Passengers,
144,AMA,Rick Husband Amarillo International,Amarillo,TX,433.64,433.64,13264.00,
145,CRP,Corpus Christi International,Corpus Christi,TX,446.87,446.87,12729.00,
146,CHO,Charlottesville Albemarle,Charlottesville,VA,417.85,417.85,12678.00,
147,DAB,Daytona Beach International,Daytona Beach,FL,357.87,357.87,12622.00,
148,BIS,Bismarck Municipal,Bismarck/Mandan,ND,393.89,393.89,12386.00,
149,ATW,Appleton International,Appleton,WI,443.44,443.44,12295.00,
150,TLH,Tallahassee International,Tallahassee,FL,514.38,514.38,12289.00,
151,RDM,Roberts Field,Bend/Redmond,OR,406.03,406.03,11934.00,
152,SBA,Santa Barbara Municipal,Santa Barbara,CA,499.82,499.82,11840.00,
153,AGS,Augusta Regional at Bush Field,Augusta,GA,443.56,443.56,11743.00,
154,ECP,Northwest Florida Beaches International,Panama City,FL,451.61,451.61,11655.00,
155,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,475.16,475.16,11594.00,
156,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,404.33,404.33,11235.00,
157,SHV,Shreveport Regional,Shreveport,LA,461.31,461.31,10762.00,
158,GRB,Green Bay Austin Straubel International,Green Bay,WI,557.31,557.31,10683.00,
159,BGR,Bangor International,Bangor,ME,384.23,384.23,10636.00,
160,BQN,Rafael Hernandez,Aguadilla,PR,222.10,222.10,10469.00,
161,HRL,Valley International,Harlingen/San Benito,TX,373.52,373.52,10173.00,
162,JNU,Juneau International,Juneau,AK,379.80,379.80,9926.00,
163,MOB,Mobile Regional,Mobile,AL,514.24,514.24,9912.00,
164,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,432.64,432.64,9816.00,
165,BMI,Central Illinois Regional,Bloomington/Normal,IL,381.58,381.58,9438.00,
166,RAP,Rapid City Regional,Rapid City,SD,429.72,429.72,9098.00,
167,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,457.54,457.54,8991.00,
168,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,454.16,454.16,8671.00,
169,GNV,Gainesville Regional,Gainesville,FL,476.85,476.85,8664.00,
170,CRW,Yeager,Charleston/Dunbar,WV,501.80,501.80,8651.00,
171,TRI,Tri-Cities Regional TN/VA,Bristol/Johnson City/Kingsport,TN,492.03,492.03,8571.00,
172,FCA,Glacier Park International,Kalispell,MT,401.41,401.41,8450.00,
173,MLB,Melbourne International,Melbourne,FL,402.72,402.72,8236.00,
174,EVV,Evansville Regional,Evansville,IN,477.96,477.96,8205.00,
175,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,513.16,513.16,7987.00,
176,TVC,Cherry Capital,Traverse City,MI,494.67,494.67,7922.00,
177,LBE,Arnold Palmer Regional,Latrobe,PA,121.66,121.66,7819.00,
178,PBG,Plattsburgh International,Plattsburgh,NY,104.31,104.31,7744.00,
179,GJT,Grand Junction Regional,Grand Junction,CO,462.44,462.44,7730.00,
180,GTF,Great Falls International,Great Falls,MT,397.28,397.28,7148.00,
181,SWF,Stewart International,Newburgh/Poughkeepsie,NY,292.34,292.34,7044.00,
182,RFD,Chicago/Rockford International,Rockford,IL,95.42,95.42,7023.00,
183,MRY,Monterey Regional,Monterey,CA,379.10,379.10,6981.00,
184,SBP,San Luis County Regional,San Luis Obispo,CA,491.05,491.05,6928.00,
185,ELM,Elmira/Corning Regional,Elmira/Corning,NY,365.90,365.90,6854.00,
186,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,395.39,395.39,6801.00,
187,MOT,Minot International,Minot,ND,442.26,442.26,6785.00,
188,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,293.63,293.63,6583.00,
189,MGM,Montgomery Regional,Montgomery,AL,523.97,523.97,6564.00,
190,GFK,Grand Forks International,Grand Forks,ND,363.66,363.66,6554.00,
191,IAG,Niagara Falls International,Niagara Falls,NY,100.80,100.80,6475.00,
192,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,498.90,498.90,6473.00,
193,LNK,Lincoln Airport,Lincoln,NE,493.22,493.22,6203.00,
193,LAN,Capital Region International,Lansing,MI,441.21,441.21,6203.00,
195,DRO,Durango La Plata County,Durango,CO,529.87,529.87,6182.00,
196,GRK,Robert Gray AAF,Killeen,TX,479.09,479.09,6013.00,
197,JAC,Jackson Hole,Jackson,WY,593.22,593.22,5861.00,
198,EYW,Key West International,Key West,FL,439.95,439.95,5828.00,
199,IDA,Idaho Falls Regional,Idaho Falls,ID,433.52,433.52,5700.00,
200,LCK,Rickenbacker International,Columbus,OH,77.30,77.30,5396.00,
201,SCE,University Park,State College,PA,536.58,536.58,4993.00,
202,MBS,MBS International,Saginaw/Bay City/Midland,MI,516.92,516.92,4985.00,
203,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,192.74,192.74,4977.00,
204,BLV,Scott AFB/MidAmerica,Belleville,IL,81.91,81.91,4961.00,
205,DLH,Duluth International,Duluth,MN,546.46,546.46,4869.00,
206,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,677.56,677.56,4834.00,
207,STX,Henry E. Rohlsen,Christiansted,VI,383.89,383.89,4703.00,
208,PSE,Mercedita,Ponce,PR,235.03,235.03,4677.00,
209,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,451.33,451.33,4668.00,
210,TOL,Toledo Express,Toledo,OH,224.81,224.81,4651.00,
211,CWA,Central Wisconsin,Mosinee,WI,541.13,541.13,4640.00,
212,LRD,Laredo International,Laredo,TX,347.83,347.83,4596.00,
213,SPI,Abraham Lincoln Capital,Springfield,IL,345.42,345.42,4557.00,
214,BFL,Meadows Field,Bakersfield,CA,558.17,558.17,4402.00,
215,AEX,Alexandria International,Alexandria,LA,510.30,510.30,4311.00,
216,HLN,Helena Regional,Helena,MT,520.58,520.58,4148.00,
217,RST,Rochester International,Rochester,MN,419.64,419.64,4079.00,
218,IFP,Laughlin/Bullhead International,Bullhead City,AZ,222.92,222.92,4012.00,
219,ERI,Erie International/Tom Ridge Field,Erie,PA,451.65,451.65,4002.00,
220,KTN,Ketchikan International,Ketchikan,AK,416.77,416.77,3946.00,
221,LSE,La Crosse Regional,La Crosse,WI,497.10,497.10,3906.00,
222,GRI,Central Nebraska Regional,Grand Island,NE,213.99,213.99,3895.00,
223,MLU,Monroe Regional,Monroe,LA,522.78,522.78,3855.00,
224,CMI,University of Illinois/Willard,Champaign/Urbana,IL,468.79,468.79,3828.00,
225,ABI,Abilene Regional,Abilene,TX,463.55,463.55,3712.00,
226,CPR,Casper/Natrona County International,Casper,WY,507.04,507.04,3674.00,
227,SCK,Stockton Metropolitan,Stockton,CA,81.17,81.17,3597.00,
228,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,495.50,495.50,3579.00,
229,FSM,Fort Smith Regional,Fort Smith,AR,512.49,512.49,3404.00,
230,BRO,Brownsville South Padre Island International,Brownsville,TX,480.49,480.49,3329.00,
231,ORH,Worcester Regional,Worcester,MA,249.27,249.27,3298.00,
232,ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,484.15,484.15,3287.00,
233,LWS,Lewiston Nez Perce County,Lewiston,ID,422.95,422.95,3243.00,
234,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,492.68,492.68,3088.00,
235,SGU,St George Regional,St. George,UT,441.92,441.92,3067.00,
236,CLL,Easterwood Field,College Station/Bryan,TX,514.38,514.38,3015.00,
